number,caudal_vertebrae,reg_no_audit,sex,size_cm,age
1,1961_6_14_12_1_merged_b,C-1961-6-14-12,M,477.52,adult
2,1961_6_14_12_1_merged_c,C-1961-6-14-12,M,477.52,adult
3,1961_6_14_12_2_merged_a,C-1961-6-14-12,M,477.52,adult
4,1961_6_14_12_4_merged_b,C-1961-6-14-12,M,477.52,adult
5,1961_6_14_12_4_merged_b_bis,C-1961-6-14-12,M,477.52,adult
6,1961_6_14_13_1_merged_a,C-1961-6-14-13,M,412.75,juvenile
7,1961_6_14_13_2_merged_a,C-1961-6-14-13,M,412.75,juvenile
8,1961_6_14_13_3_merged_a,C-1961-6-14-13,M,412.75,juvenile
9,1961_6_14_13_3_merged_b,C-1961-6-14-13,M,412.75,juvenile
10,1961_6_14_13_3_merged_e,C-1961-6-14-13,M,412.75,juvenile
11,1961_6_14_15_merged_1_a,C-1961-6-14-15,M,490.22,adult
12,1961_6_14_15_merged_1_b,C-1961-6-14-15,M,490.22,adult
13,1961_6_14_15_merged_2_b,C-1961-6-14-15,M,490.22,adult
14,1961_6_14_15_merged_3_a,C-1961-6-14-15,M,490.22,adult
15,1961_6_14_15_merged_4_b,C-1961-6-14-15,M,490.22,adult
16,1961_6_14_18_2_merged_c,C-1961-6-14-18,F,353.06,juvenile
17,1961_6_14_18_3_merged_a,C-1961-6-14-18,F,353.06,juvenile
18,1961_6_14_18_3_merged_c,C-1961-6-14-18,F,353.06,juvenile
19,1961_6_14_18_4_merged_c,C-1961-6-14-18,F,353.06,juvenile
20,1961_6_14_18_5_merged_c,C-1961-6-14-18,F,353.06,juvenile
21,1961_6_14_21_1_c,C-1961-6-14-21,M,340.36,juvenile
22,1961_6_14_21_2_a,C-1961-6-14-21,M,340.36,juvenile
23,1961_6_14_21_3_a,C-1961-6-14-21,M,340.36,juvenile
24,1961_6_14_21_4_a,C-1961-6-14-21,M,340.36,juvenile
25,1961_6_14_21_4_d,C-1961-6-14-21,M,340.36,juvenile
26,1961_6_14_22_1_a,C-1961-6-14-22,F,431.8,adult
27,1961_6_14_22_1_e,C-1961-6-14-22,F,431.8,adult
28,1961_6_14_22_2_d,C-1961-6-14-22,F,431.8,adult
29,1961_6_14_22_3_d,C-1961-6-14-22,F,431.8,adult
30,1961_6_14_22_3_e,C-1961-6-14-22,F,431.8,adult
31,1961_6_14_245_1_a,ZD-1992-245,unknown,unknown,juvenile
32,1961_6_14_245_1_e,ZD-1992-245,unknown,unknown,juvenile
33,1961_6_14_245_2_a,ZD-1992-245,unknown,unknown,juvenile
34,1961_6_14_245_2_d,ZD-1992-245,unknown,unknown,juvenile
35,1961_6_14_245_3_d,ZD-1992-245,unknown,unknown,juvenile
36,1961_6_14_247_1_b,ZD-1992-247,unknown,unknown,juvenile
37,1961_6_14_247_2_b,ZD-1992-247,unknown,unknown,juvenile
38,1961_6_14_247_4_b,ZD-1992-247,unknown,unknown,juvenile
39,1961_6_14_247_4_b_bis,ZD-1992-247,unknown,unknown,juvenile
40,1961_6_14_247_6_c,ZD-1992-247,unknown,unknown,juvenile
41,1961_6_14_26_1_c,C-1961-6-14-26,M,553.72,adult
42,1961_6_14_26_1_d,C-1961-6-14-26,M,553.72,adult
43,1961_6_14_26_2_c,C-1961-6-14-26,M,553.72,adult
44,1961_6_14_26_3_c,C-1961-6-14-26,M,553.72,adult
45,1961_6_14_26_4_a,C-1961-6-14-26,M,553.72,adult
46,1961_6_14_27_1_b,C-1961-6-14-27,F,430.53,juvenile
47,1961_6_14_27_2_b,C-1961-6-14-27,F,430.53,juvenile
48,1961_6_14_27_3_b,C-1961-6-14-27,F,430.53,juvenile
49,1961_6_14_27_4_b,C-1961-6-14-27,F,430.53,juvenile
50,1961_6_14_27_5_b,C-1961-6-14-27,F,430.53,juvenile
51,1961_6_14_3_1_c,C-1961-6-14-3,M,520.7,adult
52,1961_6_14_3_2_a,C-1961-6-14-3,M,520.7,adult
53,1961_6_14_3_2_c,C-1961-6-14-3,M,520.7,adult
54,1961_6_14_3_3_c,C-1961-6-14-3,M,520.7,adult
55,1961_6_14_3_4_a,C-1961-6-14-3,M,520.7,adult
56,1961_6_14_36_1_a,C-1961-6-14-36,F,452.12,adult
57,1961_6_14_36_2_c,C-1961-6-14-36,F,452.12,adult
58,1961_6_14_36_3_a,C-1961-6-14-36,F,452.12,adult
59,1961_6_14_36_4_a,C-1961-6-14-36,F,452.12,adult
60,1961_6_14_36_4_b,C-1961-6-14-36,F,452.12,adult
61,1961_6_14_4_1_a,C-1961-6-14-4,M,568.96,adult
62,1961_6_14_4_3_d,C-1961-6-14-4,M,568.96,adult
63,1961_6_14_4_4_a,C-1961-6-14-4,M,568.96,adult
64,1961_6_14_4_4_b,C-1961-6-14-4,M,568.96,adult
65,1961_6_14_4_4_c,C-1961-6-14-4,M,568.96,adult
66,1961_6_14_45_1_b,C-1961-6-14-45,F,445.77,adult
67,1961_6_14_45_1_c,C-1961-6-14-45,F,445.77,adult
68,1961_6_14_45_2_b,C-1961-6-14-45,F,445.77,adult
69,1961_6_14_45_3_c,C-1961-6-14-45,F,445.77,adult
70,1961_6_14_45_4_b,C-1961-6-14-45,F,445.77,adult
71,1961_6_14_47_1_c,C-1961-6-14-47,M,330.2,juvenile
72,1961_6_14_47_2_a,C-1961-6-14-47,M,330.2,juvenile
73,1961_6_14_47_4_c,C-1961-6-14-47,M,330.2,juvenile
74,1961_6_14_47_4_d,C-1961-6-14-47,M,330.2,juvenile
75,1961_6_14_47_5_b,C-1961-6-14-47,M,330.2,juvenile
76,1961_6_14_53_2_a,C-1961-6-14-53,M,393.7,juvenile
