number,lumbar_vertebrae,reg_no_audit,sex,size_cm,age
1,1961_6_14_12_1_merged_a,C-1961-6-14-12,M,477.52,adult
2,1961_6_14_12_2_merged_c,C-1961-6-14-12,M,477.52,adult
3,1961_6_14_12_3_merged_a,C-1961-6-14-12,M,477.52,adult
4,1961_6_14_12_3_merged_b,C-1961-6-14-12,M,477.52,adult
5,1961_6_14_13_1_merged_b,C-1961-6-14-13,M,412.75,juvenile
6,1961_6_14_13_1_merged_c,C-1961-6-14-13,M,412.75,juvenile
7,1961_6_14_13_2_merged_b,C-1961-6-14-13,M,412.75,juvenile
8,1961_6_14_13_2_merged_d,C-1961-6-14-13,M,412.75,juvenile
9,1961_6_14_15_merged_1_c,C-1961-6-14-15,M,490.22,adult
10,1961_6_14_15_merged_1_c_bis,C-1961-6-14-15,M,490.22,adult
11,1961_6_14_15_merged_2_c,C-1961-6-14-15,M,490.22,adult
12,1961_6_14_15_merged_3_b,C-1961-6-14-15,M,490.22,adult
13,1961_6_14_18_1_merged_b,C-1961-6-14-18,F,353.06,juvenile
14,1961_6_14_18_2_merged_a,C-1961-6-14-18,F,353.06,juvenile
15,1961_6_14_18_3_merged_b,C-1961-6-14-18,F,353.06,juvenile
16,1961_6_14_18_5_merged_a,C-1961-6-14-18,F,353.06,juvenile
17,1961_6_14_21_1_b,C-1961-6-14-21,M,340.36,juvenile
18,1961_6_14_21_3_c,C-1961-6-14-21,M,340.36,juvenile
19,1961_6_14_21_3_d,C-1961-6-14-21,M,340.36,juvenile
20,1961_6_14_21_4_b,C-1961-6-14-21,M,340.36,juvenile
21,1961_6_14_22_1_c,C-1961-6-14-22,F,431.8,adult
22,1961_6_14_22_1_d,C-1961-6-14-22,F,431.8,adult
23,1961_6_14_22_2_c,C-1961-6-14-22,F,431.8,adult
24,1961_6_14_22_3_c,C-1961-6-14-22,F,431.8,adult
25,1961_6_14_245_1_c,ZD-1992-245,unknown,unknown,juvenile
26,1961_6_14_245_1_d,ZD-1992-245,unknown,unknown,juvenile
27,1961_6_14_245_2_c,ZD-1992-245,unknown,unknown,juvenile
28,1961_6_14_245_2_e,ZD-1992-245,unknown,unknown,juvenile
29,1961_6_14_247_1_c,ZD-1992-247,unknown,unknown,juvenile
30,1961_6_14_247_2_c,ZD-1992-247,unknown,unknown,juvenile
31,1961_6_14_247_4_c,ZD-1992-247,unknown,unknown,juvenile
32,1961_6_14_247_5_c,ZD-1992-247,unknown,unknown,juvenile
33,1961_6_14_26_1_b,C-1961-6-14-26,M,553.72,adult
34,1961_6_14_26_2_d,C-1961-6-14-26,M,553.72,adult
35,1961_6_14_26_3_a,C-1961-6-14-26,M,553.72,adult
36,1961_6_14_26_3_d,C-1961-6-14-26,M,553.72,adult
37,1961_6_14_27_1_a,C-1961-6-14-27,F,430.53,juvenile
38,1961_6_14_27_1_a_bis,C-1961-6-14-27,F,430.53,juvenile
39,1961_6_14_27_2_a,C-1961-6-14-27,F,430.53,juvenile
40,1961_6_14_27_4_a,C-1961-6-14-27,F,430.53,juvenile
41,1961_6_14_3_1_b,C-1961-6-14-3,M,520.7,adult
42,1961_6_14_3_1_d,C-1961-6-14-3,M,520.7,adult
43,1961_6_14_3_2_d,C-1961-6-14-3,M,520.7,adult
44,1961_6_14_3_3_d,C-1961-6-14-3,M,520.7,adult
45,1961_6_14_36_1_d,C-1961-6-14-36,F,452.12,adult
46,1961_6_14_36_1_d_bis,C-1961-6-14-36,F,452.12,adult
47,1961_6_14_36_2_a,C-1961-6-14-36,F,452.12,adult
48,1961_6_14_36_4_d,C-1961-6-14-36,F,452.12,adult
49,1961_6_14_4_2_a,C-1961-6-14-4,M,568.96,adult
