number,thoracic_vertebrae,reg_no_audit,sex,size_cm,age
1,1961_6_14_12_1_merged_d,C-1961-6-14-12,M,477.52,adult
2,1961_6_14_12_1_merged_e,C-1961-6-14-12,M,477.52,adult
3,1961_6_14_12_2_merged_d,C-1961-6-14-12,M,477.52,adult
4,1961_6_14_13_1_merged_d,C-1961-6-14-13,M,412.75,juvenile
5,1961_6_14_13_1_merged_e,C-1961-6-14-13,M,412.75,juvenile
6,1961_6_14_13_2_merged_c,C-1961-6-14-13,M,412.75,juvenile
7,1961_6_14_15_merged_2_d,C-1961-6-14-15,M,490.22,adult
8,1961_6_14_15_merged_4_a,C-1961-6-14-15,M,490.22,adult
9,1961_6_14_15_merged_4_c,C-1961-6-14-15,M,490.22,adult
10,1961_6_14_18_2_merged_b,C-1961-6-14-18,F,353.06,juvenile
11,1961_6_14_18_2_merged_d,C-1961-6-14-18,F,353.06,juvenile
12,1961_6_14_18_5_merged_b,C-1961-6-14-18,F,353.06,juvenile
13,1961_6_14_21_1_a,C-1961-6-14-21,M,340.36,juvenile
14,1961_6_14_21_1_a_bis,C-1961-6-14-21,M,340.36,juvenile
15,1961_6_14_21_2_d,C-1961-6-14-21,M,340.36,juvenile
16,1961_6_14_22_1_b,C-1961-6-14-22,F,431.8,adult
17,1961_6_14_22_2_a,C-1961-6-14-22,F,431.8,adult
18,1961_6_14_22_2_b,C-1961-6-14-22,F,431.8,adult
19,1961_6_14_245_1_b,ZD-1992-245,unknown,unknown,juvenile
20,1961_6_14_245_3_b,ZD-1992-245,unknown,unknown,juvenile
21,1961_6_14_245_3_c,ZD-1992-245,unknown,unknown,juvenile
22,1961_6_14_247_1_a,ZD-1992-247,unknown,unknown,juvenile
23,1961_6_14_247_4_a,ZD-1992-247,unknown,unknown,juvenile
24,1961_6_14_247_5_a,ZD-1992-247,unknown,unknown,juvenile
25,1961_6_14_26_1_a,C-1961-6-14-26,M,553.72,adult
26,1961_6_14_26_2_a,C-1961-6-14-26,M,553.72,adult
27,1961_6_14_26_2_b,C-1961-6-14-26,M,553.72,adult
28,1961_6_14_27_2_c,C-1961-6-14-27,F,430.53,juvenile
29,1961_6_14_27_3_c,C-1961-6-14-27,F,430.53,juvenile
30,1961_6_14_27_5_a,C-1961-6-14-27,F,430.53,juvenile
31,1961_6_14_3_2_b,C-1961-6-14-3,M,520.7,adult
32,1961_6_14_3_3_b,C-1961-6-14-3,M,520.7,adult
33,1961_6_14_3_4_b,C-1961-6-14-3,M,520.7,adult
34,1961_6_14_36_1_b,C-1961-6-14-36,F,452.12,adult
35,1961_6_14_36_1_c,C-1961-6-14-36,F,452.12,adult
36,1961_6_14_36_2_d,C-1961-6-14-36,F,452.12,adult
37,1961_6_14_4_1_c,C-1961-6-14-4,M,568.96,adult
38,1961_6_14_4_1_c_bis,C-1961-6-14-4,M,568.96,adult
39,1961_6_14_4_2_c,C-1961-6-14-4,M,568.96,adult
40,1961_6_14_45_2_c,C-1961-6-14-45,F,445.77,adult
41,1961_6_14_45_2_c_bis,C-1961-6-14-45,F,445.77,adult
42,1961_6_14_45_3_b,C-1961-6-14-45,F,445.77,adult
43,1961_6_14_47_1_b,C-1961-6-14-47,M,330.2,juvenile
44,1961_6_14_47_1_d,C-1961-6-14-47,M,330.2,juvenile
45,1961_6_14_47_2_b,C-1961-6-14-47,M,330.2,juvenile
46,1961_6_14_53_2_b,C-1961-6-14-53,M,393.7,juvenile
47,1961_6_14_53_3_d,C-1961-6-14-53,M,393.7,juvenile
48,1961_6_14_53_4_c,C-1961-6-14-53,M,393.7,juvenile
49,1961_6_14_59_1_b,C-1961-6-14-59,M,289.56,newborn
50,1961_6_14_59_2_b,C-1961-6-14-59,M,289.56,newborn
51,1961_6_14_59_3_e,C-1961-6-14-59,M,289.56,newborn
52,1961_6_14_6_1_a,C-1961-6-14-6,M,490.22,adult
53,1961_6_14_6_2_a,C-1961-6-14-6,M,490.22,adult
54,1961_6_14_6_2_b,C-1961-6-14-6,M,490.22,adult
55,1961_6_14_60_1_e,C-1961-6-14-60,M,355.6,juvenile
